"id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","host_listing_count","availability_365"
1069266,5867023,"Michael","Manhattan","Midtown East",40.75685194386187,-73.96475423499014,"Entire home/apt",160,3,62,"2014-12-17",3.0,1,322
1846722,2631556,"Denise","Manhattan","Hamilton Heights",40.830599067480755,-73.94101427789764,"Entire home/apt",105,1,22,"2014-12-29",1.8,2,348
2061725,4601412,"Miao","Brooklyn","Bushwick",40.69218932278581,-73.92412000114966,"Private room",58,3,35,"2014-12-29",3.2,4,227
44974,198425,"Sara","Manhattan","West Village",40.73475108783765,-74.00259246421851,"Entire home/apt",185,10,26,"2014-10-30",0.5,1,274
4701675,22590025,"Charles","Manhattan","Chelsea",40.74528161142444,-73.9978362720106,"Entire home/apt",195,1,1,"2014-12-08",1,1,365
68914,343302,"Price","Brooklyn","Carroll Gardens",40.67905990251078,-73.9947304550928,"Entire home/apt",165,2,16,"2014-12-11",0.4,2,287
4832596,4148973,"Francisco","Brooklyn","Bushwick",40.68442184292363,-73.90988220936929,"Private room",80,1,0,"",,1,364
2562510,13119459,"Jordan","Manhattan","Chinatown",40.71931946775721,-73.99724678773971,"Private room",120,2,0,"",,1,273
3005360,4421803,"Jen","Manhattan","East Village",40.72602240909402,-73.98641795270885,"Entire home/apt",150,1,14,"2014-12-22",1.8,4,274
2431607,4973668,"Gloria","Brooklyn","Bedford-Stuyvesant",40.68642017908624,-73.93440170315284,"Shared room",40,4,10,"2014-09-02",1.3,4,335
1322641,2219808,"Garth","Brooklyn","Fort Greene",40.689062079268965,-73.97790508757038,"Entire home/apt",150,2,0,"",,1,334
4833061,24879430,"Dave","Brooklyn","Bushwick",40.68906437687605,-73.9161442833245,"Private room",75,1,0,"",,1,337
234327,652642,"John","Manhattan","Midtown",40.75112878359077,-73.98534537846896,"Shared room",80,3,7,"2014-11-04",0.2,25,365
